      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-11-01 18:58:06.80 40.830 -111.883 -2.00  1.00  1.73   6   4.0  0.00  0.00  ex   0  0.00  0.00    0.0   0  0.00  0.00    0.0
2012-11-01 21:55:01.13 40.492 -112.162 -2.00  1.78  1.79  12   7.0  0.00  0.00  ex   6  2.12  1.66 -124.2   7  2.57  1.57  -82.4
2012-11-01 23:11:01.04 40.474 -111.964 -2.00  0.91  1.61   9   2.0  0.00  0.00  ex   0  0.00  0.00    0.0   0  0.00  0.00    0.0
2012-11-02 17:12:53.98 40.523 -112.165 -2.00  1.76  1.97  22   8.0  0.00  0.00  ex   5  2.27  0.80 -143.6   6  1.97  4.41  -80.5
2012-11-03 13:49:22.78 40.722 -111.786 -2.00  1.45  1.55  19   4.0  0.00  0.00  ex   8  1.45  4.90  -64.2   2  2.00  1.32  -64.2
2012-11-04 06:04:20.01 39.446 -111.886 12.74  3.10  3.17  28   9.0  0.50  0.30  eq  23  3.22  3.72 -150.6  22  3.29  9.39 -146.0
2012-11-05 21:51:04.37 41.141 -112.924 -1.50  1.18  1.26  10  26.0  0.00  0.00  ex   4  1.85  6.13  -79.6   0  0.00  0.00    0.0
2012-11-06 17:05:58.41 38.155 -109.109 -2.00 -9.99  1.59   7  12.0  0.00  0.00  ex   2  2.66  0.30  -89.1   0  0.00  0.00    0.0
2012-11-06 22:32:45.92 38.946 -112.920 -2.00 -9.99  1.34   6  40.0  0.00  0.00  ex   3  2.02  1.57  -98.1   4  2.46  1.02  -63.1
2012-11-07 00:37:03.81 36.975 -113.514 -2.00  1.76  2.01   8  24.0  0.00  0.00  ex  10  1.87  3.48  -81.2   6  2.05  2.17  -70.6
2012-11-07 21:01:54.00 40.521 -112.168 -2.00  1.47  2.99  17   7.0  0.00  0.00  ex   8  1.66  4.17 -132.8   9  2.02  6.59  -91.4
2012-11-10 16:49:26.44 37.407 -113.040 18.29 -9.99  0.35   8   9.0  1.00  0.50  eq   4  1.70 27.20 -121.2   0  0.00  0.00    0.0
2012-11-12 23:41:15.17 40.522 -112.151 -2.00  1.45  1.34  17   9.0  0.00  0.00  ex   6  1.90  1.10 -119.7   3  1.68  6.39  -89.3
2012-11-13 17:09:42.13 38.125 -109.107 -2.00 -9.99  1.63   7  12.0  0.00  0.00  ex   1  1.86  1.23 -122.5   1  4.83  0.05  -19.0
2012-11-13 23:56:21.98 40.628 -111.409 -2.00 -9.99  0.82   6   0.0  0.00  0.00  ex   0  0.00  0.00    0.0   0  0.00  0.00    0.0
2012-11-14 17:35:06.65 38.144 -109.113 -2.00 -9.99  1.62   7  13.0  0.00  0.00  ex   2  1.51  6.25  -91.3   1  1.94  4.25  -96.9
2012-11-16 15:43:12.55 37.636 -113.008  6.36 -9.99  1.45  11   8.0  0.80  0.60  eq   4  1.81  5.08 -108.3   1  1.82 12.86  -57.9
2012-11-19 23:58:34.12 40.506 -112.180 -2.00  1.78  1.92  18   6.0  0.00  0.00  ex  10  2.04  1.67 -112.9   7  1.94 85.81  -72.8
2012-11-20 23:25:07.95 38.934 -112.908 -2.00  1.66  1.48  10  40.0  0.00  0.00  ex   4  2.19  0.79 -112.0   4  2.15  1.85  -72.5
2012-11-21 01:18:53.04 39.155 -111.661 19.55  2.18  1.78  18   3.0  0.90  0.50  eq  13  2.43  3.43 -116.4   9  2.40 11.46 -106.2
2012-11-22 03:21:32.74 38.219 -111.281  7.97 -9.99  1.84   9   3.0  0.50  1.70  eq   9  2.12  6.74 -120.4   4  2.21 11.95 -117.4
2012-11-22 03:48:49.13 39.618 -110.394 -1.37 -9.99  0.69   7   1.0  0.30  0.60 mis   2  1.01  4.48  -96.1   0  0.00  0.00    0.0
2012-11-23 14:56:20.75 39.615 -110.397 -1.21 -9.99  1.08   6   1.0  0.30  0.80 mis   2  1.41 13.25 -118.6   0  0.00  0.00    0.0
