   Date       Time      Lat     Lon     Dep  Tag   F1    F2    F3    F4     F5    F6    F7     F8    F9   F10   F11   F12
2013-11-24 21:58:40.59 40.516 -112.165 -2.00  ex -0.20  0.36  0.13  -73.1 -108.1 13.42 12.49 -0.07 -0.09 -0.15  0.61  0.69
2013-11-27 17:05:48.37 39.555 -112.183 -2.00  ex -0.06  0.12  0.57  -81.8 -111.8 14.53 11.94 -0.17 -0.09  0.24  0.35  0.50
2013-12-03 15:56:57.77 37.806 -113.490  4.44  eq  0.05  0.50  0.43 -117.7 -141.8 16.57 15.47 -0.69 -0.61 -0.55 -0.33  0.07
2013-12-10 01:23:11.51 40.850 -111.554 12.23  eq -0.10  0.36  0.25 -136.7 -154.5 16.00 15.70 -0.38 -0.31 -0.33  0.18  0.27
2013-12-11 21:27:47.07 39.541 -112.222 -2.00  ex  0.08  0.20  0.34  -80.4  -83.9 14.18 13.12 -0.29 -0.39  0.03  0.28  0.51
2013-12-12 23:06:23.62 40.627 -109.531 -2.00  ex -0.27 -0.15 -0.10  -91.4  -96.3 13.70 13.54 -0.43 -0.23 -0.13  0.29  0.55
2013-12-13 19:36:06.64 40.529 -112.165 -2.00  ex -0.23 -0.17  0.14  -92.0 -113.9 13.95 12.29 -0.12 -0.17  0.13 -0.10  0.01
2013-12-17 00:20:11.91 39.990 -111.838  8.75  eq  0.10  0.88  0.79 -115.4 -128.0 14.99 13.64 -0.26 -0.22 -0.14  0.13  0.22
2013-12-31 16:34:10.31 38.990 -111.954  9.10  eq  0.03  0.43  0.50 -102.8 -124.7 15.64 14.43 -0.56 -0.53 -0.13 -0.18  0.21
2013-12-31 16:36:17.64 38.988 -111.956 10.26  eq -0.04  0.42  0.30 -119.0 -123.9 16.58 15.10 -0.54 -0.50 -0.33 -0.03  0.20
2014-01-01 01:27:47.16 42.125 -112.517  5.26  eq  0.18  0.74  0.62 -101.8 -131.8 15.62 14.71 -0.37 -0.29 -0.19  0.30  0.48
2014-01-01 04:19:56.18 42.130 -112.529  6.75  eq  0.05  0.41  0.36 -121.8 -135.6 15.80 14.62 -0.22 -0.07 -0.06  0.42  0.59
2014-01-01 09:06:21.46 41.798 -112.737  4.04  eq  0.31  0.74  0.66 -108.6 -113.9 14.86 15.14 -0.65 -0.57 -0.41  0.08  0.42
2014-01-04 23:58:25.18 40.504 -112.176 -2.00  ex -0.31  0.16 -0.13  -88.4 -108.9 13.55 13.36 -0.12  0.01  0.21  0.36  0.52
2014-01-06 23:17:20.27 40.684 -112.282  7.04  eq  0.25  0.79  0.57 -112.6 -117.1 15.96 14.74 -0.30 -0.29 -0.15  0.08  0.22
2014-01-08 23:54:46.86 40.651 -109.527 -2.00  ex -0.41  0.41 -0.35  -87.4 -122.6 12.89 14.07 -0.53 -0.29 -0.35  0.73  1.01
2014-01-11 02:35:19.70 38.816 -111.548 17.90  eq  0.41  1.03  0.99 -108.5 -139.3 16.16 15.34 -0.43 -0.39 -0.31  0.01  0.12
2014-01-31 08:57:33.03 37.526 -112.313  8.87  eq  0.29  0.50  0.62 -118.3 -158.4 16.55 15.68 -0.66 -0.56 -0.51 -0.18  0.10
2014-02-02 01:52:29.73 37.047 -113.004 17.69  eq  0.00  0.20  0.09 -138.6 -145.6 17.29 15.95 -0.54 -0.43 -0.30 -0.04  0.16
2014-02-12 23:01:06.29 40.625 -109.496 -2.00  ex -0.44 -0.52 -0.55  -58.2  -92.0 14.63 13.91 -0.29 -0.17 -0.31  0.89  0.93
2014-02-13 03:01:12.59 37.028 -112.967 17.96  eq  0.21  0.50  0.44 -112.8 -114.3 17.29 16.11 -0.46 -0.36 -0.34 -0.30 -0.08
2014-02-16 09:06:15.66 37.019 -112.970 18.16  eq  0.24  0.54  0.46 -134.4 -136.0 16.77 15.57 -0.49 -0.41 -0.36 -0.01  0.15
2014-02-21 23:43:39.08 40.659 -109.511 -2.00  ex -0.20 -0.02 -0.36  -81.5 -110.9 13.48 14.35 -0.52 -0.28 -0.27  0.74  1.08
2014-03-06 10:40:34.56 40.562 -111.261 13.49  eq  0.04  0.67  0.65 -132.5 -100.9 15.30 14.53 -0.30 -0.19 -0.26  0.05  0.12
2014-03-11 21:39:22.17 40.526 -112.189 -2.00  ex -0.14  0.08  0.31  -72.3 -109.8 13.56 12.44 -0.18 -0.18 -0.03  0.20  0.39
2014-03-14 16:03:51.17 40.561 -111.269 14.02  eq -0.13  0.10  0.07 -153.8 -166.1 16.46 15.74 -0.42 -0.29 -0.26  0.33  0.50
2014-03-14 18:22:45.43 40.556 -111.269 13.54  eq  0.23  0.73  0.53 -109.0 -120.1 17.09 14.61 -0.44 -0.26 -0.21  0.19  0.21
