    Date      Time       Elat     Elon    Dep  Tag    F01    F02    F03    F04    F05    F06    F07    F08    F09    F10    F11    F12    F13
2012-12-29 04:19:15.02  37.519  -113.879  10.2  eq      X      X   1.37      X -123.4      X  14.88      X      X      X      X      X  -0.25
2012-12-31 21:17:03.80  37.441  -113.119  10.1  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-01 21:32:19.29  41.122  -111.603   7.7  eq   0.13   0.47   0.46 -116.5 -138.1  16.48  15.14  -0.14  -0.08  -0.01   0.03  -0.24  -0.10
2013-01-02 02:06:38.55  37.044  -112.429  19.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-02 04:56:45.10  39.507  -111.924  13.0  eq      X      X   0.79      X -124.2      X  13.98      X      X      X      X      X  -0.03
2013-01-02 06:54:14.60  39.627  -110.420  -3.4 mis      X      X   0.12      X  -89.3      X  11.80      X      X      X      X      X      X
2013-01-03 14:58:34.57  36.895  -112.477  18.4  eq      X      X   0.07      X -138.2      X  15.01      X      X      X      X      X  -0.52
2013-01-03 18:14:20.42  38.126  -109.124  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-04 18:07:40.70  38.152  -109.108  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-04 21:55:19.74  36.932  -113.617  -2.0  ex  -0.16      X   0.26      X  -94.0      X  12.25      X      X      X      X      X  -0.43
2013-01-05 19:53:46.54  40.527  -112.162  -2.0  ex  -0.02   0.27   0.46  -82.3 -138.9  13.39  12.25      X   0.18   0.01   0.07  -0.06  -0.12
2013-01-08 14:33:10.44  40.580  -111.592   7.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-08 21:34:00.19  38.140  -109.108  -2.0  ex  -0.61      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-09 23:15:26.82  38.968  -112.938  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-10 04:03:27.50  39.149  -111.661  17.2  eq   0.41   0.82   0.96 -105.9 -105.7  15.33  14.46      X  -0.03      X      X      X  -0.21
2013-01-10 22:59:40.22  40.494  -112.158  -2.0  ex  -0.56      X  -0.14      X  -90.6      X  12.42      X      X      X      X      X      X
2013-01-11 23:27:52.12  37.678  -113.087  12.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-12 12:50:21.99  37.146  -113.468  17.8  eq      X      X   0.86      X -127.9      X  14.34      X      X      X      X      X  -0.48
2013-01-14 08:07:39.20  38.220  -111.283   7.5  eq      X   0.70   0.65 -102.2 -125.9  16.18  14.61      X   0.12   0.02   0.04      X  -0.22
2013-01-14 08:09:44.75  38.220  -111.278   7.8  eq      X      X   0.24      X -101.0      X  14.67      X      X      X      X      X  -0.30
2013-01-14 17:35:39.64  38.145  -109.121  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2013-01-14 20:49:40.30  38.219  -111.284   7.9  eq  -0.19   0.75   0.68 -130.9 -108.8  15.22  14.64      X   0.05  -0.01   0.03      X  -0.18
